askedByUserId,questionText
208,So it means if u pay ua loan before the due date is a disadvantage the last time I paid earlier it was still a problem
208,The dates of payment are still indicated n no money sent
208,Why was my application rejected
208,Hi branch I requested my number to remain the one I was using there before 0720225243  I don't understand how it changed
218,I said ill pay 5th esther camoon.. Infact you guys took a week to give me a loan and just cant wait 4days for me to pay back??
218,I  will pay on sunday of 5th and i will pay all the amount.. If that is allowed??
218,I have a late source of salary i expected but i will pay nexr
444,"I will clear my loan before 15nth,kindly bear with me.January was tough."
676,Hi can i get the batch number
676,Hi can i get the batch number pl
779,I Still not satisfied. I am still asking for a review.  My number is 0723506931 or at least give me a clear reason.  Thanks
779,My number is 0723506931. please have a review of my loan. I haven't defaulted and I have cleared my outstanding loan on the due date.
779,Hi branch I have just cleared my  loan which was due today but unfortunately you have denied me. I haven't applied for a loan since December but your system says that I have applied for a loan last week. Please review my loan
1092,I got only this number please help me
1092,My number is 0790898526 help me to validate it please so i can be able to access the loan
1155,"Hello,our salaries have been delayed but hopefully will be paid today or tomorrow."
1241,Thanks Branch for being understanding ..have cleared my loan....God bless you
1245,"Hi, kindly can i have the batch number"
1245,I have to clear by tomorrow please send me the batch number
1245,I was at CRB offices and they haven't received your clearance batch number. Please send it to me so I can clear with them.
1354,No need just expunge my details from the system
1354,"Thank you for the loans i have benefitted from ""the branch"". Kindly expunge my details from your system. Its frustrating to be told to re apply in 7 days week in week out....it makes me look like a criminal. I will not be applying again."
1354,"My loan has been rejected because it was rejected recently, after 14days suspension am being suspended again for a further 7days"
1481,Hello. Why can't you make the loan payment options more... like say a choice between weekly and monthly.. someone to choose when applying for the loans..  regards
2035,Ok
2035,"Hi,sorry for the short text however Someone used my I.D and did register a line and took mshwari loan but venye nili realize nilipigia safaricom customer care and i did the payment  and cleared a bill of 299now i dont have  any what is the way forward."
2035,Someone used
2035,What am i supposed to do after paying in order to re
2126,Any response to my above queries please???
2126,Kindly advise what sms are not in my phone....
2126,And have no current loan... Im upto date ...
2126,If there is a way u can check the mpesa sms in my phone.. Check and see all transactions sms are available ....and mpesa account is very active
2126,All my Mpesa sms are stored in sim card for long period ...and none has been deleted...
2126,What SMSs should i accumulate on my phone?
2126,Why has my loan application been rejected and i have never defaulted on any repayments and l always pay on time?
